"original address",latitude,longitude
"6366 Mack Rd Sacramento,CA",38.472717,-121.428894
"5044 Franklin Blvd Sacramento,CA",38.529404,-121.472912
"3540 Norwood Ave Sacramento,CA",38.631466,-121.45638
"5984 14th Ave Sacramento,CA",38.539523,-121.435362
"5960 24th St Sacramento,CA",38.51593,-121.483642
"910 Grand Ave Sacramento,CA",38.63653,-121.445721
"5278 Fruitridge Rd Sacramento,CA",38.524949,-121.444425
"4211 Norwood Ave Sacramento,CA",38.644823,-121.458688
"5597 Stockton Blvd Sacramento,CA",38.525427,-121.442332
"2199 El Camino Ave Sacramento,CA",38.611118,-121.415711
"6240 Greenhaven Dr Sacramento,CA",38.514062,-121.52671
"1340 Fulton Ave Sacramento,CA",38.590214,-121.400596
"1826 Fulton Ave Sacramento,CA",38.598942,-121.401025
"4790 47th Ave Sacramento,CA",38.510018,-121.450302
"596 Main Ave Sacramento,CA",38.654868,-121.452179
"6419 Riverside Blvd Sacramento,CA",38.509605,-121.541274
"7210 Fruitridge Rd Sacramento,CA",38.524878,-121.420325
"4300 82nd St Sacramento,CA",38.535976,-121.404891
"2119 62nd Ave Sacramento,CA",38.495065,-121.490267
"1301 Florin Rd Sacramento,CA",38.496602,-121.510262
"7924 Fruitridge Rd Sacramento,CA",38.524715,-121.41064
"4220 Florin Rd Sacramento,CA",38.494721,-121.456903
"6830 Stockton Blvd Sacramento,CA",38.502775,-121.432812
"6968 65th St Sacramento,CA",38.500567,-121.437889
"4400 Florin Perkins Rd Sacramento,CA",38.535543,-121.392847
"7319 Arleta Ct Sacramento,CA",38.489888,-121.440654
"7549 Franklin Blvd # 1 Sacramento,CA",38.484382,-121.45372
"7261 Stockton Blvd Sacramento,CA",38.49269,-121.427243
"3510 Auburn Blvd Sacramento,CA",38.636723,-121.381596
"4128 El Camino Ave Sacramento,CA",38.609521,-121.367484
"6366 Mack Rd Sacramento,CA",38.472717,-121.428894
"7960 Gerber Rd Sacramento,CA",38.480626,-121.410441
"6640 Valley Hi Dr Sacramento,CA",38.472477,-121.42617
"6625 Valley Hi Dr Sacramento,CA",38.471439,-121.427612
"7810 Stockton Blvd Sacramento,CA",38.473811,-121.42027
"7850 Stockton Blvd Ste 190 Sacramento,CA",38.473593,-121.419495
"4445 Auburn Blvd Sacramento,CA",38.648463,-121.360532
"9731 Folsom Blvd Sacramento,CA",38.573597,-121.334253
